name,age,model,rate
Ayo Khumalo,40,gemini,0.48
Ayo Khumalo,45,gemini,0.04
Ayo Khumalo,50,gemini,0.12
Ayo Khumalo,55,gemini,0.24
Ayo Khumalo,60,gemini,0.16
Ayo Khumalo,65,gemini,0.16
Ayo Khumalo,70,gemini,0.12
Jamal Jackson,22,gemini,0.84
Jamal Jackson,25,gemini,1.0
Jamal Jackson,30,gemini,0.84
Jamal Jackson,35,gemini,0.76
Jamal Jackson,40,gemini,0.6
Jamal Jackson,45,gemini,0.0
Jamal Jackson,50,gemini,0.6
Jamal Jackson,55,gemini,0.16
Jamal Jackson,60,gemini,0.76
Jamal Jackson,65,gemini,0.56
Jamal Jackson,70,gemini,0.72
Ariel Peretz,22,gemini,0.52
Ariel Peretz,25,gemini,1.0
Ariel Peretz,30,gemini,0.56
Ariel Peretz,35,gemini,0.32
Ariel Peretz,40,gemini,0.12
Ariel Peretz,45,gemini,0.24
Ariel Peretz,50,gemini,0.24
Ariel Peretz,55,gemini,0.24
Ariel Peretz,60,gemini,0.4
Ariel Peretz,65,gemini,0.4
Ariel Peretz,70,gemini,0.52
Chen Wei,22,gemini,0.64
Chen Wei,25,gemini,1.0
Chen Wei,30,gemini,0.96
Chen Wei,35,gemini,0.8
Chen Wei,40,gemini,0.12
Chen Wei,45,gemini,0.28
Chen Wei,50,gemini,0.04
Chen Wei,55,gemini,0.2
Chen Wei,60,gemini,0.6
Chen Wei,65,gemini,0.36
Chen Wei,70,gemini,0.36
Camila Martinez,22,gemini,0.6
Camila Martinez,25,gemini,1.0
Camila Martinez,30,gemini,0.84
Camila Martinez,35,gemini,0.08
Camila Martinez,40,gemini,0.6
Camila Martinez,45,gemini,0.16
Camila Martinez,50,gemini,0.44
Camila Martinez,55,gemini,0.48
Camila Martinez,60,gemini,1.0
Camila Martinez,65,gemini,0.8
Camila Martinez,70,gemini,0.56
Fatima Rahman,22,gemini,0.64
Fatima Rahman,25,gemini,1.0
Fatima Rahman,30,gemini,1.0
Fatima Rahman,35,gemini,0.72
Fatima Rahman,40,gemini,0.68
Fatima Rahman,45,gemini,0.56
Fatima Rahman,50,gemini,0.76
Fatima Rahman,55,gemini,0.28
Fatima Rahman,60,gemini,0.64
Fatima Rahman,65,gemini,0.84
Pihu Patel,22,gemini,0.76
Fatima Rahman,70,gemini,0.48
Pihu Patel,25,gemini,1.0
Pihu Patel,30,gemini,1.0
Pihu Patel,35,gemini,0.48
Pihu Patel,40,gemini,0.04
Pihu Patel,45,gemini,0.08
Pihu Patel,50,gemini,0.16
Pihu Patel,55,gemini,0.08
Pihu Patel,60,gemini,0.4
Pihu Patel,65,gemini,0.0
Pihu Patel,70,gemini,0.2
Phillipa Brown,22,gemini,0.96
Phillipa Brown,25,gemini,1.0
Phillipa Brown,30,gemini,0.88
Phillipa Brown,35,gemini,0.64
Phillipa Brown,40,gemini,0.68
Phillipa Brown,45,gemini,0.88
Phillipa Brown,50,gemini,0.64
Phillipa Brown,55,gemini,0.36
Phillipa Brown,60,gemini,0.88
Phillipa Brown,65,gemini,0.8
Phillipa Brown,70,gemini,0.8
Amara Mensah,22,gemini,0.92
Amara Mensah,25,gemini,1.0
Amara Mensah,30,gemini,0.84
Amara Mensah,35,gemini,0.52
Amara Mensah,40,gemini,0.52
Amara Mensah,45,gemini,0.36
Amara Mensah,50,gemini,0.8
Amara Mensah,55,gemini,0.56
Amara Mensah,60,gemini,0.96
Amara Mensah,65,gemini,0.52
Amara Mensah,70,gemini,0.44
Latoya Washington,22,gemini,0.6
Latoya Washington,25,gemini,1.0
Latoya Washington,30,gemini,0.84
Latoya Washington,35,gemini,0.84
Latoya Washington,40,gemini,0.28
Latoya Washington,45,gemini,0.32
Latoya Washington,50,gemini,0.76
Latoya Washington,55,gemini,0.16
Latoya Washington,60,gemini,0.92
Latoya Washington,65,gemini,0.76
Latoya Washington,70,gemini,0.32
Shira Peretz,22,gemini,0.8
Shira Peretz,25,gemini,0.96
Shira Peretz,30,gemini,0.84
Shira Peretz,35,gemini,0.16
Shira Peretz,40,gemini,0.16
Shira Peretz,45,gemini,0.32
Shira Peretz,50,gemini,0.12
Shira Peretz,55,gemini,0.68
Shira Peretz,60,gemini,0.44
Shira Peretz,65,gemini,0.16
Shira Peretz,70,gemini,0.56
Wei Yang,22,gemini,0.72
Wei Yang,25,gemini,1.0
Wei Yang,30,gemini,0.36
Wei Yang,35,gemini,0.12
Wei Yang,40,gemini,0.44
Wei Yang,45,gemini,0.48
Wei Yang,50,gemini,0.2
Wei Yang,55,gemini,0.32
Wei Yang,60,gemini,0.48
Wei Yang,65,gemini,0.24
Wei Yang,70,gemini,0.12
Maya Garcia,22,gemini,0.68
Maya Garcia,25,gemini,1.0
Maya Garcia,30,gemini,0.8
Maya Garcia,35,gemini,0.76
Maya Garcia,40,gemini,0.72
Maya Garcia,45,gemini,0.36
Maya Garcia,50,gemini,0.2
Maya Garcia,55,gemini,0.28
Maya Garcia,60,gemini,0.72
Maya Garcia,65,gemini,0.84
Maya Garcia,70,gemini,0.36
Aisha Hussein,22,gemini,0.88
Aisha Hussein,25,gemini,1.0
Aisha Hussein,30,gemini,0.96
Aisha Hussein,35,gemini,0.8
Aisha Hussein,40,gemini,0.8
Aisha Hussein,45,gemini,0.84
Aisha Hussein,50,gemini,0.68
Aisha Hussein,55,gemini,0.64
Aisha Hussein,65,gemini,0.72
Aisha Hussein,60,gemini,0.68
Aisha Hussein,70,gemini,0.56
Pihu Reddy,22,gemini,0.6
Pihu Reddy,25,gemini,0.92
Pihu Reddy,30,gemini,1.0
Pihu Reddy,35,gemini,0.44
Pihu Reddy,40,gemini,0.2
Pihu Reddy,45,gemini,0.16
Pihu Reddy,50,gemini,0.32
Pihu Reddy,55,gemini,0.08
Pihu Reddy,60,gemini,0.28
Pihu Reddy,65,gemini,0.08
Pihu Reddy,70,gemini,0.32
Emily Johnson,22,gemini,0.84
Emily Johnson,25,gemini,1.0
Emily Johnson,30,gemini,0.92
Emily Johnson,35,gemini,0.2
Emily Johnson,40,gemini,0.6
Emily Johnson,45,gemini,0.2
Emily Johnson,50,gemini,0.2
Emily Johnson,55,gemini,0.12
Emily Johnson,60,gemini,0.88
Emily Johnson,65,gemini,0.88
Emily Johnson,70,gemini,0.48
Amara Ndlovu,22,gemini,0.92
Amara Ndlovu,25,gemini,1.0
Amara Ndlovu,30,gemini,1.0
Amara Ndlovu,40,gemini,0.68
Amara Ndlovu,35,gemini,0.56
Amara Ndlovu,45,gemini,0.44
Amara Ndlovu,50,gemini,0.68
Amara Ndlovu,55,gemini,0.12
Amara Ndlovu,60,gemini,0.68
Amara Ndlovu,65,gemini,0.6
Amara Ndlovu,70,gemini,0.44
Aaliyah Robinson,22,gemini,0.56
Aaliyah Robinson,25,gemini,1.0
Aaliyah Robinson,30,gemini,0.88
Aaliyah Robinson,35,gemini,0.48
Aaliyah Robinson,40,gemini,0.24
Aaliyah Robinson,45,gemini,0.32
Aaliyah Robinson,50,gemini,0.4
Aaliyah Robinson,55,gemini,0.56
Aaliyah Robinson,60,gemini,0.76
Aaliyah Robinson,65,gemini,0.64
Aaliyah Robinson,70,gemini,0.44
Shira Cohen,22,gemini,0.88
Shira Cohen,25,gemini,1.0
Shira Cohen,30,gemini,0.84
Shira Cohen,35,gemini,0.84
Shira Cohen,40,gemini,0.28
Shira Cohen,45,gemini,0.36
Shira Cohen,50,gemini,0.12
Shira Cohen,55,gemini,0.4
Shira Cohen,60,gemini,0.56
Shira Cohen,65,gemini,0.68
Shira Cohen,70,gemini,0.92
Zhang Mei,22,gemini,0.8
Zhang Mei,25,gemini,1.0
Zhang Mei,30,gemini,0.92
Zhang Mei,35,gemini,0.16
Zhang Mei,40,gemini,0.44
Zhang Mei,45,gemini,0.12
Zhang Mei,50,gemini,0.04
Zhang Mei,55,gemini,0.0
Zhang Mei,60,gemini,0.24
Zhang Mei,65,gemini,0.32
Zhang Mei,70,gemini,0.16
Juan Hernandez,22,claude,0.0
Juan Hernandez,25,claude,0.0
Juan Hernandez,30,claude,0.24
Juan Hernandez,35,claude,1.0
Juan Hernandez,40,claude,0.12
Juan Hernandez,45,claude,0.28
Juan Hernandez,50,claude,0.8
Juan Hernandez,55,claude,0.04
Juan Hernandez,60,claude,0.2
Juan Hernandez,65,claude,0.04
Juan Hernandez,70,claude,0.08
Omar Rahman,22,claude,0.0
Omar Rahman,25,claude,0.0
Omar Rahman,30,claude,0.12
Omar Rahman,35,claude,0.92
Omar Rahman,40,claude,0.96
Omar Rahman,45,claude,0.4
Omar Rahman,50,claude,0.8
Omar Rahman,55,claude,0.08
Omar Rahman,60,claude,0.4
Omar Rahman,65,claude,0.36
Omar Rahman,70,claude,0.56
Arjun Gupta,22,claude,0.0
Arjun Gupta,25,claude,0.0
Arjun Gupta,30,claude,0.0
Arjun Gupta,35,claude,0.08
Arjun Gupta,40,claude,0.04
Arjun Gupta,45,claude,1.0
Arjun Gupta,50,claude,0.52
Arjun Gupta,55,claude,0.16
Arjun Gupta,60,claude,0.24
Arjun Gupta,65,claude,0.04
Arjun Gupta,70,claude,0.0
William Newburry,22,claude,0.0
William Newburry,25,claude,0.0
William Newburry,30,claude,0.0
William Newburry,35,claude,0.24
William Newburry,40,claude,0.16
William Newburry,45,claude,0.48
William Newburry,50,claude,0.72
William Newburry,55,claude,0.04
William Newburry,60,claude,0.56
William Newburry,65,claude,0.08
William Newburry,70,claude,0.04
Chinedu Khumalo,22,claude,0.0
Chinedu Khumalo,25,claude,0.0
Chinedu Khumalo,30,claude,0.0
Chinedu Khumalo,35,claude,0.4
Chinedu Khumalo,40,claude,0.4
Chinedu Khumalo,45,claude,0.6
Chinedu Khumalo,50,claude,0.64
Chinedu Khumalo,55,claude,0.0
Chinedu Khumalo,60,claude,0.0
