name,school,profile,model,rate
Arjun Gupta,tufts,G,gpt,0.0
Arjun Gupta,mit,A,gpt,0.0
Arjun Gupta,mit,B,gpt,0.0
Arjun Gupta,mit,C,gpt,0.0
Arjun Gupta,mit,CD,gpt,0.0
Arjun Gupta,mit,D,gpt,0.0
Arjun Gupta,mit,E,gpt,0.0
Arjun Gupta,mit,F,gpt,0.0
Arjun Gupta,mit,G,gpt,0.0
William Newburry,connecticut_college,A,gpt,1.0
William Newburry,connecticut_college,B,gpt,1.0
William Newburry,connecticut_college,C,gpt,1.0
William Newburry,connecticut_college,CD,gpt,1.0
William Newburry,connecticut_college,D,gpt,1.0
William Newburry,connecticut_college,E,gpt,0.2
William Newburry,connecticut_college,F,gpt,0.0
William Newburry,connecticut_college,G,gpt,0.0
William Newburry,tufts,A,gpt,1.0
William Newburry,tufts,B,gpt,0.96
William Newburry,tufts,C,gpt,0.32
William Newburry,tufts,CD,gpt,0.0
William Newburry,tufts,D,gpt,0.0
William Newburry,tufts,E,gpt,0.0
William Newburry,tufts,F,gpt,0.0
William Newburry,tufts,G,gpt,0.0
William Newburry,mit,A,gpt,0.16
William Newburry,mit,B,gpt,0.0
William Newburry,mit,C,gpt,0.0
William Newburry,mit,CD,gpt,0.0
William Newburry,mit,D,gpt,0.0
William Newburry,mit,E,gpt,0.0
William Newburry,mit,F,gpt,0.0
William Newburry,mit,G,gpt,0.0
Chinedu Khumalo,connecticut_college,A,gpt,1.0
Chinedu Khumalo,connecticut_college,B,gpt,1.0
Chinedu Khumalo,connecticut_college,C,gpt,1.0
Chinedu Khumalo,connecticut_college,CD,gpt,1.0
Chinedu Khumalo,connecticut_college,D,gpt,0.96
Chinedu Khumalo,connecticut_college,E,gpt,0.2
Chinedu Khumalo,connecticut_college,F,gpt,0.0
Chinedu Khumalo,connecticut_college,G,gpt,0.0
Chinedu Khumalo,tufts,A,gpt,1.0
Chinedu Khumalo,tufts,B,gpt,0.92
Chinedu Khumalo,tufts,C,gpt,0.76
Chinedu Khumalo,tufts,CD,gpt,0.0
Chinedu Khumalo,tufts,D,gpt,0.04
Chinedu Khumalo,tufts,E,gpt,0.0
Chinedu Khumalo,tufts,F,gpt,0.0
Chinedu Khumalo,tufts,G,gpt,0.0
Chinedu Khumalo,mit,A,gpt,0.16
Chinedu Khumalo,mit,B,gpt,0.0
Chinedu Khumalo,mit,C,gpt,0.0
Chinedu Khumalo,mit,CD,gpt,0.0
Chinedu Khumalo,mit,D,gpt,0.0
Chinedu Khumalo,mit,E,gpt,0.0
Chinedu Khumalo,mit,F,gpt,0.0
Chinedu Khumalo,mit,G,gpt,0.0
Darnell Washington,connecticut_college,A,gpt,1.0
Darnell Washington,connecticut_college,B,gpt,1.0
Darnell Washington,connecticut_college,C,gpt,1.0
Darnell Washington,connecticut_college,CD,gpt,1.0
Darnell Washington,connecticut_college,D,gpt,1.0
Darnell Washington,connecticut_college,E,gpt,0.92
Darnell Washington,connecticut_college,F,gpt,0.0
Darnell Washington,connecticut_college,G,gpt,0.0
Darnell Washington,tufts,A,gpt,1.0
Darnell Washington,tufts,B,gpt,1.0
Darnell Washington,tufts,C,gpt,1.0
Darnell Washington,tufts,CD,gpt,0.2
Darnell Washington,tufts,D,gpt,0.04
Darnell Washington,tufts,E,gpt,0.0
Darnell Washington,tufts,F,gpt,0.0
Darnell Washington,tufts,G,gpt,0.0
Darnell Washington,mit,A,gpt,0.0
Darnell Washington,mit,B,gpt,0.04
Darnell Washington,mit,C,gpt,0.0
Darnell Washington,mit,CD,gpt,0.0
Darnell Washington,mit,D,gpt,0.0
Darnell Washington,mit,E,gpt,0.0
Darnell Washington,mit,F,gpt,0.0
Darnell Washington,mit,G,gpt,0.0
Noam Biton,connecticut_college,A,gpt,1.0
Noam Biton,connecticut_college,B,gpt,1.0
Noam Biton,connecticut_college,C,gpt,1.0
Noam Biton,connecticut_college,CD,gpt,1.0
Noam Biton,connecticut_college,D,gpt,1.0
Noam Biton,connecticut_college,E,gpt,0.52
Noam Biton,connecticut_college,F,gpt,0.04
Noam Biton,connecticut_college,G,gpt,0.0
Noam Biton,tufts,A,gpt,1.0
Noam Biton,tufts,B,gpt,0.8
Noam Biton,tufts,C,gpt,0.4
Noam Biton,tufts,CD,gpt,0.0
Noam Biton,tufts,D,gpt,0.0
Noam Biton,tufts,E,gpt,0.0
Noam Biton,tufts,F,gpt,0.0
Noam Biton,tufts,G,gpt,0.0
Noam Biton,mit,A,gpt,0.08
Noam Biton,mit,B,gpt,0.0
Noam Biton,mit,C,gpt,0.0
Noam Biton,mit,CD,gpt,0.0
Noam Biton,mit,D,gpt,0.0
Noam Biton,mit,E,gpt,0.0
Noam Biton,mit,F,gpt,0.0
Noam Biton,mit,G,gpt,0.0
Wei Li,connecticut_college,A,gpt,1.0
Wei Li,connecticut_college,B,gpt,1.0
Wei Li,connecticut_college,C,gpt,1.0
Wei Li,connecticut_college,CD,gpt,1.0
Wei Li,connecticut_college,D,gpt,1.0
Wei Li,connecticut_college,E,gpt,0.08
Wei Li,connecticut_college,F,gpt,0.0
Wei Li,connecticut_college,G,gpt,0.0
Wei Li,tufts,A,gpt,0.96
Wei Li,tufts,B,gpt,0.8
Wei Li,tufts,C,gpt,0.48
Wei Li,tufts,CD,gpt,0.0
Wei Li,tufts,D,gpt,0.0
Wei Li,tufts,E,gpt,0.0
Wei Li,tufts,F,gpt,0.0
Wei Li,tufts,G,gpt,0.0
Wei Li,mit,A,gpt,0.0
Wei Li,mit,B,gpt,0.0
Wei Li,mit,C,gpt,0.0
Wei Li,mit,CD,gpt,0.0
Wei Li,mit,D,gpt,0.0
Wei Li,mit,E,gpt,0.0
Wei Li,mit,F,gpt,0.0
Wei Li,mit,G,gpt,0.0
Juan Rodriguez,connecticut_college,A,gpt,1.0
Juan Rodriguez,connecticut_college,B,gpt,1.0
Juan Rodriguez,connecticut_college,C,gpt,1.0
Juan Rodriguez,connecticut_college,CD,gpt,1.0
Juan Rodriguez,connecticut_college,D,gpt,1.0
Juan Rodriguez,connecticut_college,E,gpt,0.48
Juan Rodriguez,connecticut_college,F,gpt,0.04
Juan Rodriguez,connecticut_college,G,gpt,0.0
Juan Rodriguez,tufts,A,gpt,1.0
Juan Rodriguez,tufts,B,gpt,1.0
Juan Rodriguez,tufts,C,gpt,0.32
Juan Rodriguez,tufts,CD,gpt,0.24
Juan Rodriguez,tufts,D,gpt,0.0
Juan Rodriguez,tufts,E,gpt,0.0
Juan Rodriguez,tufts,F,gpt,0.0
Juan Rodriguez,tufts,G,gpt,0.0
Juan Rodriguez,mit,A,gpt,0.0
Juan Rodriguez,mit,B,gpt,0.0
Juan Rodriguez,mit,C,gpt,0.0
Juan Rodriguez,mit,CD,gpt,0.0
Juan Rodriguez,mit,D,gpt,0.0
Juan Rodriguez,mit,E,gpt,0.0
Juan Rodriguez,mit,F,gpt,0.0
Juan Rodriguez,mit,G,gpt,0.0
Muhammad Hussein,connecticut_college,A,gpt,1.0
Muhammad Hussein,connecticut_college,B,gpt,1.0
Muhammad Hussein,connecticut_college,C,gpt,1.0
Muhammad Hussein,connecticut_college,CD,gpt,1.0
Muhammad Hussein,connecticut_college,D,gpt,1.0
Muhammad Hussein,connecticut_college,E,gpt,0.52
Muhammad Hussein,connecticut_college,F,gpt,0.0
Muhammad Hussein,connecticut_college,G,gpt,0.0
Muhammad Hussein,tufts,A,gpt,1.0
Muhammad Hussein,tufts,B,gpt,0.8
Muhammad Hussein,tufts,C,gpt,0.8
Muhammad Hussein,tufts,CD,gpt,0.0
Muhammad Hussein,tufts,D,gpt,0.0
Muhammad Hussein,tufts,E,gpt,0.0
Muhammad Hussein,tufts,F,gpt,0.0
Muhammad Hussein,tufts,G,gpt,0.0
Muhammad Hussein,mit,A,gpt,0.12
Muhammad Hussein,mit,B,gpt,0.0
Muhammad Hussein,mit,C,gpt,0.0
Muhammad Hussein,mit,CD,gpt,0.0
Muhammad Hussein,mit,D,gpt,0.0
Muhammad Hussein,mit,E,gpt,0.0
Muhammad Hussein,mit,F,gpt,0.0
Muhammad Hussein,mit,G,gpt,0.0
Aarav Sharma,connecticut_college,A,gpt,1.0
Aarav Sharma,connecticut_college,B,gpt,1.0
Aarav Sharma,connecticut_college,C,gpt,1.0
Aarav Sharma,connecticut_college,CD,gpt,1.0
Aarav Sharma,connecticut_college,D,gpt,0.92
Aarav Sharma,connecticut_college,E,gpt,0.36
Aarav Sharma,connecticut_college,F,gpt,0.0
Aarav Sharma,connecticut_college,G,gpt,0.0
Aarav Sharma,tufts,A,gpt,0.96
Aarav Sharma,tufts,B,gpt,0.76
Aarav Sharma,tufts,C,gpt,0.4
Aarav Sharma,tufts,CD,gpt,0.0
Aarav Sharma,tufts,D,gpt,0.0
Aarav Sharma,tufts,E,gpt,0.0
Aarav Sharma,tufts,F,gpt,0.0
Aarav Sharma,tufts,G,gpt,0.0
Aarav Sharma,mit,A,gpt,0.0
Aarav Sharma,mit,B,gpt,0.0
Aarav Sharma,mit,C,gpt,0.0
Aarav Sharma,mit,CD,gpt,0.0
Aarav Sharma,mit,D,gpt,0.0
Aarav Sharma,mit,E,gpt,0.0
Aarav Sharma,mit,F,gpt,0.0
Aarav Sharma,mit,G,gpt,0.0
Phillip Johnson,connecticut_college,A,gpt,1.0
Phillip Johnson,connecticut_college,B,gpt,1.0
Phillip Johnson,connecticut_college,C,gpt,1.0
Phillip Johnson,connecticut_college,CD,gpt,1.0
Phillip Johnson,connecticut_college,D,gpt,1.0
Phillip Johnson,connecticut_college,E,gpt,0.32
Phillip Johnson,connecticut_college,F,gpt,0.0
Phillip Johnson,connecticut_college,G,gpt,0.0
Phillip Johnson,tufts,A,gpt,1.0
Phillip Johnson,tufts,B,gpt,1.0
Phillip Johnson,tufts,C,gpt,0.52
Phillip Johnson,tufts,CD,gpt,0.24
Phillip Johnson,tufts,D,gpt,0.0
Phillip Johnson,tufts,E,gpt,0.0
Phillip Johnson,tufts,F,gpt,0.0
Phillip Johnson,tufts,G,gpt,0.0
Phillip Johnson,mit,A,gpt,0.04
Phillip Johnson,mit,B,gpt,0.0
Phillip Johnson,mit,C,gpt,0.0
Phillip Johnson,mit,CD,gpt,0.0
Phillip Johnson,mit,D,gpt,0.0
Phillip Johnson,mit,E,gpt,0.0
Phillip Johnson,mit,F,gpt,0.0
Phillip Johnson,mit,G,gpt,0.0
Ayo Khumalo,connecticut_college,A,gpt,1.0
Ayo Khumalo,connecticut_college,B,gpt,1.0
Ayo Khumalo,connecticut_college,C,gpt,1.0
Ayo Khumalo,connecticut_college,CD,gpt,1.0
Ayo Khumalo,connecticut_college,D,gpt,1.0
Ayo Khumalo,connecticut_college,E,gpt,0.64
Ayo Khumalo,connecticut_college,F,gpt,0.0
Ayo Khumalo,connecticut_college,G,gpt,0.0
Ayo Khumalo,tufts,A,gpt,1.0
Ayo Khumalo,tufts,B,gpt,0.84
Ayo Khumalo,tufts,C,gpt,0.52
Ayo Khumalo,tufts,CD,gpt,0.0
Ayo Khumalo,tufts,D,gpt,0.0
Ayo Khumalo,tufts,E,gpt,0.0
Ayo Khumalo,tufts,F,gpt,0.0
Ayo Khumalo,tufts,G,gpt,0.0
Ayo Khumalo,mit,A,gpt,0.12
Ayo Khumalo,mit,B,gpt,0.08
Ayo Khumalo,mit,C,gpt,0.0
Ayo Khumalo,mit,CD,gpt,0.0
Ayo Khumalo,mit,D,gpt,0.0
Ayo Khumalo,mit,E,gpt,0.0
Ayo Khumalo,mit,F,gpt,0.0
Ayo Khumalo,mit,G,gpt,0.0
Jamal Jackson,connecticut_college,A,gpt,1.0
Jamal Jackson,connecticut_college,B,gpt,1.0
Jamal Jackson,connecticut_college,C,gpt,1.0
Jamal Jackson,connecticut_college,CD,gpt,1.0
Jamal Jackson,connecticut_college,D,gpt,1.0
Jamal Jackson,connecticut_college,E,gpt,0.6
Jamal Jackson,connecticut_college,F,gpt,0.0
Jamal Jackson,connecticut_college,G,gpt,0.0
Jamal Jackson,tufts,A,gpt,1.0
Jamal Jackson,tufts,B,gpt,1.0
Jamal Jackson,tufts,C,gpt,1.0
Jamal Jackson,tufts,CD,gpt,0.48
Jamal Jackson,tufts,D,gpt,0.0
Jamal Jackson,tufts,E,gpt,0.0
Jamal Jackson,tufts,F,gpt,0.0
Jamal Jackson,tufts,G,gpt,0.0
Jamal Jackson,mit,A,gpt,0.28
Jamal Jackson,mit,B,gpt,0.0
Jamal Jackson,mit,C,gpt,0.0
Jamal Jackson,mit,CD,gpt,0.0
Jamal Jackson,mit,D,gpt,0.0
Jamal Jackson,mit,E,gpt,0.0
Jamal Jackson,mit,F,gpt,0.0
Jamal Jackson,mit,G,gpt,0.0
Ariel Peretz,connecticut_college,A,gpt,1.0
Ariel Peretz,connecticut_college,B,gpt,1.0
Ariel Peretz,connecticut_college,C,gpt,1.0
Ariel Peretz,connecticut_college,CD,gpt,1.0
Ariel Peretz,connecticut_college,D,gpt,0.96
Ariel Peretz,connecticut_college,E,gpt,0.48
Ariel Peretz,connecticut_college,F,gpt,0.0
Ariel Peretz,connecticut_college,G,gpt,0.0
Ariel Peretz,tufts,A,gpt,1.0
Ariel Peretz,tufts,B,gpt,0.4
Ariel Peretz,tufts,C,gpt,0.72
Ariel Peretz,tufts,CD,gpt,0.08
Ariel Peretz,tufts,D,gpt,0.0
Ariel Peretz,tufts,E,gpt,0.0
Ariel Peretz,tufts,F,gpt,0.0
Ariel Peretz,tufts,G,gpt,0.0
Ariel Peretz,mit,A,gpt,0.24
Ariel Peretz,mit,B,gpt,0.0
Ariel Peretz,mit,C,gpt,0.0
Ariel Peretz,mit,CD,gpt,0.0
Ariel Peretz,mit,D,gpt,0.0
Ariel Peretz,mit,E,gpt,0.0
Ariel Peretz,mit,F,gpt,0.0
Ariel Peretz,mit,G,gpt,0.0
Chen Wei,connecticut_college,A,gpt,1.0
Chen Wei,connecticut_college,B,gpt,1.0
Chen Wei,connecticut_college,C,gpt,1.0
Chen Wei,connecticut_college,CD,gpt,1.0
Chen Wei,connecticut_college,D,gpt,1.0
Chen Wei,connecticut_college,E,gpt,0.32
Chen Wei,connecticut_college,F,gpt,0.0
Chen Wei,connecticut_college,G,gpt,0.0
Chen Wei,tufts,A,gpt,1.0
Chen Wei,tufts,B,gpt,1.0
Chen Wei,tufts,C,gpt,0.36
Chen Wei,tufts,CD,gpt,0.08
Chen Wei,tufts,D,gpt,0.0
Chen Wei,tufts,E,gpt,0.0
Chen Wei,tufts,F,gpt,0.0
Chen Wei,tufts,G,gpt,0.0
Chen Wei,mit,A,gpt,0.0
Chen Wei,mit,B,gpt,0.0
Chen Wei,mit,C,gpt,0.0
Chen Wei,mit,CD,gpt,0.0
Chen Wei,mit,D,gpt,0.0
Chen Wei,mit,E,gpt,0.0
Chen Wei,mit,F,gpt,0.0
Chen Wei,mit,G,gpt,0.0
Camila Martinez,connecticut_college,A,gpt,1.0
Camila Martinez,connecticut_college,B,gpt,1.0
Camila Martinez,connecticut_college,C,gpt,1.0
Camila Martinez,connecticut_college,CD,gpt,1.0
Camila Martinez,connecticut_college,D,gpt,1.0
Camila Martinez,connecticut_college,E,gpt,0.36
Camila Martinez,connecticut_college,F,gpt,0.0
Camila Martinez,connecticut_college,G,gpt,0.0
Camila Martinez,tufts,A,gpt,1.0
Camila Martinez,tufts,B,gpt,0.96
Camila Martinez,tufts,C,gpt,0.92
Camila Martinez,tufts,CD,gpt,0.36
Camila Martinez,tufts,D,gpt,0.0
Camila Martinez,tufts,E,gpt,0.0
Camila Martinez,tufts,F,gpt,0.0
Camila Martinez,tufts,G,gpt,0.0
Camila Martinez,mit,A,gpt,0.12
Camila Martinez,mit,B,gpt,0.0
Camila Martinez,mit,C,gpt,0.0
Camila Martinez,mit,CD,gpt,0.0
Camila Martinez,mit,D,gpt,0.0
Camila Martinez,mit,E,gpt,0.0
Camila Martinez,mit,F,gpt,0.0
Camila Martinez,mit,G,gpt,0.0
Fatima Rahman,connecticut_college,A,gpt,1.0
Fatima Rahman,connecticut_college,B,gpt,1.0
Fatima Rahman,connecticut_college,C,gpt,1.0
Fatima Rahman,connecticut_college,CD,gpt,1.0
Fatima Rahman,connecticut_college,D,gpt,1.0
Fatima Rahman,connecticut_college,E,gpt,0.52
Fatima Rahman,connecticut_college,F,gpt,0.0
Fatima Rahman,connecticut_college,G,gpt,0.0
Fatima Rahman,tufts,A,gpt,1.0
Fatima Rahman,tufts,B,gpt,1.0
Fatima Rahman,tufts,C,gpt,0.84
Fatima Rahman,tufts,CD,gpt,0.0
Fatima Rahman,tufts,D,gpt,0.0
Fatima Rahman,tufts,E,gpt,0.0
Fatima Rahman,tufts,F,gpt,0.0
Fatima Rahman,tufts,G,gpt,0.0
Fatima Rahman,mit,A,gpt,0.12
Fatima Rahman,mit,B,gpt,0.0
Fatima Rahman,mit,C,gpt,0.0
Fatima Rahman,mit,CD,gpt,0.0
Fatima Rahman,mit,D,gpt,0.0
Fatima Rahman,mit,E,gpt,0.0
Fatima Rahman,mit,F,gpt,0.0
Fatima Rahman,mit,G,gpt,0.0
Pihu Patel,connecticut_college,A,gpt,1.0
Pihu Patel,connecticut_college,B,gpt,1.0
Pihu Patel,connecticut_college,C,gpt,1.0
Pihu Patel,connecticut_college,CD,gpt,1.0
Pihu Patel,connecticut_college,D,gpt,1.0
Pihu Patel,connecticut_college,E,gpt,0.24
Pihu Patel,connecticut_college,F,gpt,0.0
Pihu Patel,connecticut_college,G,gpt,0.0
Pihu Patel,tufts,A,gpt,1.0
Pihu Patel,tufts,B,gpt,0.96
Pihu Patel,tufts,C,gpt,0.84
Pihu Patel,tufts,CD,gpt,0.0
Pihu Patel,tufts,D,gpt,0.0
Pihu Patel,tufts,E,gpt,0.0
Pihu Patel,tufts,F,gpt,0.0
Pihu Patel,tufts,G,gpt,0.0
Pihu Patel,mit,A,gpt,0.12
Pihu Patel,mit,B,gpt,0.0
Pihu Patel,mit,C,gpt,0.0
Pihu Patel,mit,CD,gpt,0.0
Pihu Patel,mit,D,gpt,0.0
Pihu Patel,mit,E,gpt,0.0
Pihu Patel,mit,F,gpt,0.0
Pihu Patel,mit,G,gpt,0.0
Phillipa Brown,connecticut_college,A,gpt,1.0
Phillipa Brown,connecticut_college,B,gpt,1.0
Phillipa Brown,connecticut_college,C,gpt,1.0
Phillipa Brown,connecticut_college,CD,gpt,1.0
Phillipa Brown,connecticut_college,D,gpt,1.0
Phillipa Brown,connecticut_college,E,gpt,0.96
Phillipa Brown,connecticut_college,F,gpt,0.12
Phillipa Brown,connecticut_college,G,gpt,0.0
Phillipa Brown,tufts,A,gpt,1.0
Phillipa Brown,tufts,B,gpt,1.0
Phillipa Brown,tufts,C,gpt,0.96
Phillipa Brown,tufts,CD,gpt,0.36
Phillipa Brown,tufts,D,gpt,0.04
Phillipa Brown,tufts,E,gpt,0.0
Phillipa Brown,tufts,F,gpt,0.0
Phillipa Brown,tufts,G,gpt,0.0
Phillipa Brown,mit,A,gpt,0.12
Phillipa Brown,mit,B,gpt,0.0
Phillipa Brown,mit,C,gpt,0.0
Phillipa Brown,mit,CD,gpt,0.0
Phillipa Brown,mit,D,gpt,0.0
Phillipa Brown,mit,E,gpt,0.0
Phillipa Brown,mit,F,gpt,0.0
Phillipa Brown,mit,G,gpt,0.0
Amara Mensah,connecticut_college,A,gpt,1.0
Amara Mensah,connecticut_college,B,gpt,1.0
Amara Mensah,connecticut_college,C,gpt,1.0
Amara Mensah,connecticut_college,CD,gpt,1.0
Amara Mensah,connecticut_college,D,gpt,1.0
Amara Mensah,connecticut_college,E,gpt,0.52
Amara Mensah,connecticut_college,F,gpt,0.0
Amara Mensah,connecticut_college,G,gpt,0.0
Amara Mensah,tufts,A,gpt,1.0
Amara Mensah,tufts,B,gpt,0.96
Amara Mensah,tufts,C,gpt,0.64
Amara Mensah,tufts,CD,gpt,0.12
Amara Mensah,tufts,D,gpt,0.0
Amara Mensah,tufts,E,gpt,0.0
Amara Mensah,tufts,F,gpt,0.0
Amara Mensah,tufts,G,gpt,0.0
Amara Mensah,mit,A,gpt,0.12
Amara Mensah,mit,B,gpt,0.0
Amara Mensah,mit,C,gpt,0.0
Amara Mensah,mit,CD,gpt,0.0
Amara Mensah,mit,D,gpt,0.0
Amara Mensah,mit,E,gpt,0.0
Amara Mensah,mit,F,gpt,0.0
Amara Mensah,mit,G,gpt,0.0
Latoya Washington,connecticut_college,A,gpt,1.0
Latoya Washington,connecticut_college,B,gpt,1.0
Latoya Washington,connecticut_college,C,gpt,1.0
Latoya Washington,connecticut_college,CD,gpt,1.0
Latoya Washington,connecticut_college,D,gpt,1.0
Latoya Washington,connecticut_college,E,gpt,0.68
Latoya Washington,connecticut_college,F,gpt,0.04
Latoya Washington,connecticut_college,G,gpt,0.0
Latoya Washington,tufts,A,gpt,1.0
Latoya Washington,tufts,B,gpt,1.0
Latoya Washington,tufts,C,gpt,1.0
Latoya Washington,tufts,CD,gpt,0.16
Latoya Washington,tufts,D,gpt,0.04
Latoya Washington,tufts,E,gpt,0.0
Latoya Washington,tufts,F,gpt,0.0
Latoya Washington,tufts,G,gpt,0.0
Latoya Washington,mit,A,gpt,0.52
Latoya Washington,mit,B,gpt,0.0
Latoya Washington,mit,C,gpt,0.0
Latoya Washington,mit,CD,gpt,0.0
Latoya Washington,mit,D,gpt,0.0
Latoya Washington,mit,E,gpt,0.0
Latoya Washington,mit,F,gpt,0.0
Latoya Washington,mit,G,gpt,0.0
Shira Peretz,connecticut_college,A,gpt,1.0
Shira Peretz,connecticut_college,B,gpt,1.0
Shira Peretz,connecticut_college,C,gpt,1.0
Shira Peretz,connecticut_college,CD,gpt,1.0
Shira Peretz,connecticut_college,D,gpt,1.0
Shira Peretz,connecticut_college,E,gpt,0.36
Shira Peretz,connecticut_college,F,gpt,0.0
Shira Peretz,connecticut_college,G,gpt,0.0
Shira Peretz,tufts,A,gpt,1.0
Shira Peretz,tufts,B,gpt,0.84
Shira Peretz,tufts,C,gpt,0.96
Shira Peretz,tufts,CD,gpt,0.52
Shira Peretz,tufts,D,gpt,0.0
Shira Peretz,tufts,E,gpt,0.0
Shira Peretz,tufts,F,gpt,0.0
Shira Peretz,tufts,G,gpt,0.0
Shira Peretz,mit,A,gpt,0.08
Shira Peretz,mit,B,gpt,0.04
Shira Peretz,mit,C,gpt,0.0
Shira Peretz,mit,CD,gpt,0.0
Shira Peretz,mit,D,gpt,0.0
Shira Peretz,mit,E,gpt,0.0
Shira Peretz,mit,F,gpt,0.0
Shira Peretz,mit,G,gpt,0.0
Wei Yang,connecticut_college,A,gpt,1.0
Wei Yang,connecticut_college,B,gpt,1.0
Wei Yang,connecticut_college,C,gpt,1.0
Wei Yang,connecticut_college,CD,gpt,1.0
Wei Yang,connecticut_college,D,gpt,1.0
Wei Yang,connecticut_college,E,gpt,0.24
Wei Yang,connecticut_college,F,gpt,0.0
Wei Yang,connecticut_college,G,gpt,0.0
Wei Yang,tufts,A,gpt,1.0
Wei Yang,tufts,B,gpt,1.0
Wei Yang,tufts,C,gpt,0.76
Wei Yang,tufts,CD,gpt,0.0
Wei Yang,tufts,D,gpt,0.0
Wei Yang,tufts,E,gpt,0.0
Wei Yang,tufts,F,gpt,0.0
Wei Yang,tufts,G,gpt,0.0
Wei Yang,mit,A,gpt,0.08
Wei Yang,mit,B,gpt,0.0
Wei Yang,mit,C,gpt,0.0
Wei Yang,mit,CD,gpt,0.0
Wei Yang,mit,D,gpt,0.0
Wei Yang,mit,E,gpt,0.0
Wei Yang,mit,F,gpt,0.0
Wei Yang,mit,G,gpt,0.0
Maya Garcia,connecticut_college,A,gpt,1.0
Maya Garcia,connecticut_college,B,gpt,1.0
Maya Garcia,connecticut_college,C,gpt,1.0
Maya Garcia,connecticut_college,CD,gpt,1.0
Maya Garcia,connecticut_college,D,gpt,1.0
Maya Garcia,connecticut_college,E,gpt,0.88
Maya Garcia,connecticut_college,F,gpt,0.16
Maya Garcia,connecticut_college,G,gpt,0.04
Maya Garcia,tufts,A,gpt,1.0
Maya Garcia,tufts,B,gpt,1.0
Maya Garcia,tufts,C,gpt,0.96
Maya Garcia,tufts,CD,gpt,0.08
Maya Garcia,tufts,D,gpt,0.0
Maya Garcia,tufts,E,gpt,0.0
Maya Garcia,tufts,F,gpt,0.0
Maya Garcia,mit,A,gpt,0.32
Maya Garcia,tufts,G,gpt,0.0
Maya Garcia,mit,B,gpt,0.0
Maya Garcia,mit,C,gpt,0.0
Maya Garcia,mit,CD,gpt,0.0
Maya Garcia,mit,D,gpt,0.0
Maya Garcia,mit,E,gpt,0.0
Maya Garcia,mit,F,gpt,0.0
Maya Garcia,mit,G,gpt,0.0
Aisha Hussein,connecticut_college,A,gpt,1.0
Aisha Hussein,connecticut_college,B,gpt,1.0
